Name,Musician_years of instruction ( >= 5 -> 2 ),AudSD,AudIrreg,AudReg,VisSD,VisIrreg,VisReg,TactSD,TactIrreg,TactReg,,AudSDIntDiff (T),AudSDIntDiff (F),AudIrregIntDiff (T),AudIrregIntDiff (F),AudRegIntDiff (T),AudRegIntDiff (F),VisSDIntDiff (T),VisSDIntDiff (F),VisIrregIntDiff (T),VisIrregIntDiff (F),VisRegIntDiff (T),VisRegIntDiff (F),TactSDIntDiff (T),TactSDIntDiff (F),TactIrregIntDiff (T),TactIrregIntDiff (F),TactRegIntDiff (T),TactRegIntDiff (F),,AudSD Index,AudIrreg Index,AudReg Index,VisSD Index,VisIrreg Index,VisReg Index,TactSD Index,TactIrreg Index,TactReg Index
pilot 1,1,0.9,0.81,0.71,0.81,0.76,0.57,0.81,0.71,0.57,,1.71,1,2.77,2.9,1.8,1.83,1.85,0.75,2.85,2.18,1.67,2,1.88,0.6,0,2.8,1.83,1.78,,9,6,5,4,3,1,8,7,2
pilot 2,2,0.86,0.9,0.52,0.86,0.57,0.57,0.86,0.67,0.62,,1.77,0.83,2.79,2.8,1.82,1.8,1.81,0.63,2.67,2.67,1.83,1.78,1.8,0.67,2.81,2.76,1.92,1.63,,3,5,4,7,8,2,6,1,9
pilot 3,1,0.81,0.38,0.29,0.57,0.38,0.33,0.62,0.33,0.29,,1.72,1.27,3.15,2.58,1.83,1.8,1.82,1.4,2.95,2.7,2,1.71,1.83,1.32,2.67,2.86,1.83,1.8,,9,8,7,6,5,4,3,2,1
main 1,1,0.76,0.52,0.52,0.52,0.57,0.38,0.71,0.62,0.52,,1.83,1.02,2.61,3,1.82,1.8,2.03,1.21,2.77,2.83,1.75,1.85,1.8,1.23,2.73,2.9,1.82,1.8,,9,2,1,6,5,8,7,3,4
main 2,1,0.95,0.9,0.95,0.86,1,0.62,0.81,0.9,0.86,,1.69,0.5,2.77,3,1.8,2,1.77,0.87,2.8,0,2,1.5,1.88,0.63,2.77,3,1.78,2,,3,8,9,6,7,1,4,2,5
main 3,1,0.95,0.57,0.71,0.67,0.62,0.33,0.71,0.67,0.67,,1.7,0.5,2.9,2.66,1.8,1.83,1.99,0.94,2.88,2.65,1.86,1.79,1.86,1.08,2.81,2.76,1.79,1.86,,3,4,2,6,1,8,9,5,7
main 4,1,0.86,0.48,0.43,0.67,0.57,0.52,0.76,0.43,0.24,,1.8,0.67,3.02,2.59,1.67,1.92,1.51,1.9,2.87,2.7,1.82,1.8,1.9,0.8,2.81,2.78,2,1.75,,5,1,9,7,4,8,6,3,2
main 5,2,0.76,0.67,0.81,0.86,0.76,0.62,0.81,0.67,0.57,,1.87,0.9,2.86,2.67,1.82,1.75,1.79,0.7,2.75,2.94,1.85,1.75,1.76,1.1,2.86,2.67,1.75,1.89,,4,5,2,6,7,8,9,3,1
main 6,2,0.76,0.86,0.9,0.67,0.62,0.81,0.67,0.76,0.62,,1.96,0.62,2.83,2.57,1.79,2,2.1,0.71,2.7,2.95,1.82,1.75,2.06,0.8,2.88,2.54,1.77,1.88,,4,5,2,3,1,6,8,7,9
main 7,1,0.81,0.57,0.48,0.43,0.19,0.43,0.71,0.57,0.52,,1.88,0.63,2.7,2.92,1.9,1.73,2.12,1.27,2.65,2.83,1.78,1.83,1.96,0.83,2.78,2.81,1.82,1.8,,8,5,6,3,7,2,4,9,1
