AudSD,AudIrreg,AudReg,labels
0.9,0.81,0.71,0
0.86,0.9,0.52,0
0.81,0.38,0.29,1
0.76,0.52,0.52,1
0.95,0.9,0.95,0
0.95,0.57,0.71,2
0.86,0.48,0.43,1
0.76,0.67,0.81,0
0.76,0.86,0.9,0
0.81,0.57,0.48,1
0.86,0.62,0.52,1
0.67,0.52,0.62,2
0.9,0.86,0.81,0
0.67,0.52,0.48,1
0.76,0.62,0.67,2
0.95,0.9,0.71,0
0.86,0.67,0.62,2
0.81,0.67,0.71,2
0.81,0.38,0.57,1
0.76,0.43,0.71,2
0.81,0.62,0.81,2
0.81,0.43,0.67,2
0.57,0.48,0.43,1
0.71,0.33,0.48,1
0.95,0.48,0.71,2
0.86,0.43,0.57,1
0.71,0.57,0.62,2
0.76,0.57,0.62,2
0.86,0.57,0.43,1
0.62,0.57,0.71,2
0.71,0.33,0.67,2
0.9,0.81,0.9,0
0.86,0.38,0.52,1
0.81,0.38,0.48,1
0.62,0.43,0.57,1
0.76,0.48,0.76,2
0.76,0.29,0.71,2
0.71,0.24,0.67,2
0.86,0.38,0.57,1
0.9,0.52,0.52,1
0.81,0.52,0.76,2
0.71,0.57,0.33,1
0.76,0.57,0.48,1
0.62,0.38,0.29,1
0.71,0.29,0.81,2
0.86,0.38,0.57,1
0.81,0.48,0.71,2
0.95,0.57,0.67,2
0.86,0.43,0.33,1
0.81,0.86,0.67,0
0.86,0.81,0.67,0
0.71,0.43,0.57,1
0.76,0.57,0.48,1
0.52,0.38,0.76,2
0.62,0.57,0.43,1
0.86,0.38,0.52,1
0.76,0.48,0.38,1
0.81,0.33,0.81,2
0.76,0.57,0.71,2
0.86,0.52,0.71,2
0.71,0.62,0.76,2
0.48,0.43,0.52,1
0.86,0.67,0.86,0
0.71,0.24,0.48,1
0.62,0.29,0.67,2
0.86,0.33,0.48,1
0.81,0.57,0.95,2
0.76,0.62,0.52,1
0.62,0.62,0.67,2
0.67,0.67,0.62,2
0.86,0.57,0.9,2
0.95,0.76,0.81,0
0.67,0.43,0.71,2
0.71,0.52,0.52,1
0.81,0.76,0.86,0
0.67,0.43,0.38,1
0.86,0.62,0.76,2
0.76,0.52,0.43,1
0.76,0.43,0.62,2
0.86,0.52,0.62,2
0.67,0.14,0.48,1
0.9,0.67,0.48,1
0.76,0.62,0.57,2
0.9,0.33,0.48,1
0.81,0.43,0.48,1
0.71,0.76,0.9,0
0.76,0.38,0.62,2
0.76,0.81,0.9,0
0.71,0.62,0.57,2
0.67,0.57,0.38,1
0.9,0.76,0.76,0
0.81,0.71,0.95,0
0.86,0.48,0.67,2
0.86,0.86,0.76,0
0.76,0.76,0.57,0
0.9,1.0,1.0,0
0.81,0.86,0.86,0
0.81,0.57,0.81,2
0.71,0.71,0.86,0
0.67,0.52,0.52,1
0.71,0.43,0.29,1
0.81,0.76,0.86,0
0.67,0.43,0.29,1
0.9,0.71,0.9,0
0.86,0.43,0.29,1
0.81,0.48,0.57,1
0.86,0.86,0.71,0
0.81,0.76,0.62,0
0.71,0.43,0.52,1
0.86,0.43,0.67,2
0.81,1.0,1.0,0
0.86,0.57,0.48,1
0.86,0.81,0.52,0
0.76,0.43,0.33,1
0.95,0.38,0.81,2
0.81,0.52,0.43,1
0.86,0.71,0.67,0
0.81,0.62,0.43,1
0.86,0.29,0.29,1
0.86,0.52,0.57,1
0.71,0.33,0.57,1
0.86,0.48,0.48,1
0.81,0.9,0.67,0
0.86,0.71,0.76,0
0.81,0.86,0.38,1
0.71,0.62,0.76,2
0.86,0.67,0.57,2
0.81,0.67,0.81,0
0.95,0.67,0.57,2
0.81,0.43,0.57,1
0.81,0.57,0.71,2
0.76,0.67,0.95,0
0.81,0.29,0.43,1
0.86,0.57,0.38,1
0.57,0.33,0.29,1
0.86,0.57,0.95,2
0.9,0.76,0.9,0
0.86,0.76,1.0,0
0.86,0.48,0.43,1
0.95,0.62,1.0,0
0.9,0.48,0.57,1
