Timing.level,Cluster.1,Timing.level2,Cluster.2,Timing.level3,Cluster.3
Single duration timing,0.9,Single duration timing,0.81,Single duration timing,0.95
Single duration timing,0.86,Single duration timing,0.76,Single duration timing,0.67
Single duration timing,0.95,Single duration timing,0.86,Single duration timing,0.76
Single duration timing,0.76,Single duration timing,0.81,Single duration timing,0.86
Single duration timing,0.76,Single duration timing,0.86,Single duration timing,0.81
Single duration timing,0.9,Single duration timing,0.67,Single duration timing,0.76
Single duration timing,0.95,Single duration timing,0.81,Single duration timing,0.81
Single duration timing,0.9,Single duration timing,0.57,Single duration timing,0.81
Single duration timing,0.81,Single duration timing,0.71,Single duration timing,0.95
Single duration timing,0.86,Single duration timing,0.86,Single duration timing,0.71
Single duration timing,0.86,Single duration timing,0.86,Single duration timing,0.76
Single duration timing,0.95,Single duration timing,0.86,Single duration timing,0.62
Single duration timing,0.81,Single duration timing,0.81,Single duration timing,0.71
Single duration timing,0.71,Single duration timing,0.62,Single duration timing,0.76
Single duration timing,0.76,Single duration timing,0.86,Single duration timing,0.76
Single duration timing,0.9,Single duration timing,0.9,Single duration timing,0.71
Single duration timing,0.81,Single duration timing,0.71,Single duration timing,0.81
Single duration timing,0.86,Single duration timing,0.76,Single duration timing,0.71
Single duration timing,0.76,Single duration timing,0.62,Single duration timing,0.81
Single duration timing,0.9,Single duration timing,0.86,Single duration timing,0.95
Single duration timing,0.81,Single duration timing,0.86,Single duration timing,0.52
Single duration timing,0.71,Single duration timing,0.71,Single duration timing,0.81
Single duration timing,0.81,Single duration timing,0.76,Single duration timing,0.76
Single duration timing,0.9,Single duration timing,0.62,Single duration timing,0.86
Single duration timing,0.86,Single duration timing,0.86,Single duration timing,0.71
Single duration timing,0.81,Single duration timing,0.76,Single duration timing,0.62
Single duration timing,0.81,Single duration timing,0.48,Single duration timing,0.81
Single duration timing,0.86,Single duration timing,0.71,Single duration timing,0.62
Single duration timing,0.86,Single duration timing,0.86,Single duration timing,0.67
Single duration timing,0.81,Single duration timing,0.76,Single duration timing,0.86
Single duration timing,0.86,Single duration timing,0.71,Single duration timing,0.67
Single duration timing,0.81,Single duration timing,0.67,Single duration timing,0.86
Single duration timing,0.76,Single duration timing,0.76,Single duration timing,0.76
Single duration timing,0.9,Single duration timing,0.67,Single duration timing,0.86
Single duration timing,0.86,Single duration timing,0.9,Single duration timing,0.76
Single duration timing,0.95,Single duration timing,0.9,Single duration timing,0.76
Sequence timing,0.81,Single duration timing,0.81,Single duration timing,0.71
Sequence timing,0.9,Single duration timing,0.67,Single duration timing,0.86
Sequence timing,0.9,Single duration timing,0.67,Single duration timing,0.81
Sequence timing,0.67,Single duration timing,0.71,Single duration timing,0.86
Sequence timing,0.86,Single duration timing,0.67,Single duration timing,0.95
Sequence timing,0.86,Single duration timing,0.86,Single duration timing,0.71
Sequence timing,0.9,Single duration timing,0.81,Single duration timing,0.86
Sequence timing,0.81,Single duration timing,0.71,Single duration timing,0.95
Sequence timing,0.86,Single duration timing,0.86,Single duration timing,0.81
Sequence timing,0.81,Single duration timing,0.76,Single duration timing,0.86
Sequence timing,0.67,Single duration timing,0.81,Sequence timing,0.57
Sequence timing,0.76,Single duration timing,0.81,Sequence timing,0.52
Sequence timing,0.76,Single duration timing,0.86,Sequence timing,0.62
Sequence timing,0.76,Single duration timing,0.86,Sequence timing,0.67
Sequence timing,0.81,Single duration timing,0.71,Sequence timing,0.67
Sequence timing,0.76,Single duration timing,0.86,Sequence timing,0.43
Sequence timing,0.71,Single duration timing,0.81,Sequence timing,0.62
Sequence timing,0.86,Single duration timing,0.81,Sequence timing,0.43
Sequence timing,0.76,Single duration timing,0.81,Sequence timing,0.48
Sequence timing,1.0,Single duration timing,0.86,Sequence timing,0.57
Sequence timing,0.86,Single duration timing,0.57,Sequence timing,0.57
Sequence timing,0.71,Single duration timing,0.86,Sequence timing,0.57
Sequence timing,0.76,Single duration timing,0.9,Sequence timing,0.33
Sequence timing,0.71,Sequence timing,0.38,Sequence timing,0.48
Sequence timing,0.86,Sequence timing,0.52,Sequence timing,0.29
Sequence timing,0.76,Sequence timing,0.48,Sequence timing,0.24
Sequence timing,1.0,Sequence timing,0.57,Sequence timing,0.52
Sequence timing,0.81,Sequence timing,0.62,Sequence timing,0.29
Sequence timing,0.71,Sequence timing,0.52,Sequence timing,0.48
Sequence timing,0.9,Sequence timing,0.38,Sequence timing,0.57
Sequence timing,0.71,Sequence timing,0.48,Sequence timing,0.38
Sequence timing,0.67,Sequence timing,0.33,Sequence timing,0.33
Sequence timing,0.67,Sequence timing,0.43,Sequence timing,0.57
Sequence timing,0.76,Sequence timing,0.57,Sequence timing,0.52
Sequence timing,0.76,Sequence timing,0.38,Sequence timing,0.62
Sequence timing,0.62,Sequence timing,0.38,Sequence timing,0.29
Beat-based timing,0.71,Sequence timing,0.43,Sequence timing,0.57
Beat-based timing,0.52,Sequence timing,0.38,Sequence timing,0.62
Beat-based timing,0.95,Sequence timing,0.52,Sequence timing,0.67
Beat-based timing,0.81,Sequence timing,0.57,Sequence timing,0.57
Beat-based timing,0.9,Sequence timing,0.57,Sequence timing,0.43
Beat-based timing,0.81,Sequence timing,0.38,Sequence timing,0.62
Beat-based timing,0.71,Sequence timing,0.38,Sequence timing,0.43
Beat-based timing,0.9,Sequence timing,0.43,Sequence timing,0.52
Beat-based timing,0.67,Sequence timing,0.43,Sequence timing,0.62
Beat-based timing,0.67,Sequence timing,0.57,Sequence timing,0.38
Beat-based timing,0.86,Sequence timing,0.57,Sequence timing,0.62
Beat-based timing,0.81,Sequence timing,0.38,Sequence timing,0.48
Beat-based timing,0.86,Sequence timing,0.48,Sequence timing,0.57
Beat-based timing,0.9,Sequence timing,0.43,Sequence timing,0.43
Beat-based timing,0.9,Sequence timing,0.24,Sequence timing,0.38
Beat-based timing,0.76,Sequence timing,0.33,Sequence timing,0.62
Beat-based timing,0.95,Sequence timing,0.62,Sequence timing,0.67
Beat-based timing,0.76,Sequence timing,0.52,Sequence timing,0.67
Beat-based timing,0.57,Sequence timing,0.43,Sequence timing,0.57
Beat-based timing,1.0,Sequence timing,0.52,Sequence timing,0.57
Beat-based timing,0.86,Sequence timing,0.14,Beat-based timing,0.71
Beat-based timing,0.86,Sequence timing,0.67,Beat-based timing,0.62
Beat-based timing,0.86,Sequence timing,0.33,Beat-based timing,0.67
Beat-based timing,0.9,Sequence timing,0.43,Beat-based timing,0.62
Beat-based timing,0.71,Sequence timing,0.57,Beat-based timing,0.71
Beat-based timing,0.62,Sequence timing,0.52,Beat-based timing,0.71
Beat-based timing,1.0,Sequence timing,0.43,Beat-based timing,0.81
Beat-based timing,0.52,Sequence timing,0.43,Beat-based timing,0.67
Beat-based timing,0.67,Sequence timing,0.43,Beat-based timing,0.71
